Id;Gênero;RendaFamiliar;EducacaoPaterna;PeriodoDeAula;FezAulaParticular;EstadoCivilDosPais;PraticaEsportes;FilhoMaisVelho;NumIrmaos;TransporteEscolar;HorasDeEstudo;notaDeMatematica;notaDePortugues;notaDeCiencias
191;masculino;grupo C;ensinao medio incompleto;vespertino;nao;casado;eventualmente;nao;2;carro;> 5 < 10;53;55;47
192;masculino;grupo C;superior incompleto;vespertino;sim;divorciado;eventualmente;sim;3;onibus;< 5;64;59;61
193;masculino;grupo E;superior incompleto;matutino;nao;divorciado;nunca;sim;0;onibus;> 5 < 10;81;87;79
194;masculino;grupo C;superior completo;matutino;nao;casado;eventualmente;sim;5;onibus;< 5;68;80;70
195;feminino;grupo C;superior incompleto;matutino;nao;casado;eventualmente;sim;4;onibus;;56;55;53
196;feminino;grupo D;ensinao medio incompleto;vespertino;sim;divorciado;nunca;sim;;onibus;> 5 < 10;38;64;65
197;masculino;grupo A;mestrado;vespertino;nao;casado;nunca;nao;4;onibus;> 5 < 10;40;64;59
198;masculino;grupo D;ensinao medio incompleto;matutino;nao;casado;eventualmente;sim;1;carro;> 5 < 10;91;77;80
200;feminino;grupo B;some ensinao medio incompleto;matutino;sim;casado;eventualmente;sim;0;carro;> 5 < 10;67;69;61
201;masculino;grupo B;some ensinao medio incompleto;matutino;nao;casado;regularmente;nao;2;carro;> 10;58;53;54
202;masculino;grupo C;some ensinao medio incompleto;vespertino;sim;divorciado;eventualmente;sim;3;carro;< 5;66;76;74
203;masculino;grupo B;ensinao medio;matutino;sim;divorciado;eventualmente;sim;2;carro;> 10;80;74;74
204;masculino;grupo B;ensinao medio incompleto;matutino;nao;divorciado;eventualmente;sim;0;onibus;> 5 < 10;79;64;66
205;feminino;grupo C;superior completo;vespertino;nao;casado;regularmente;sim;3;;> 10;43;43;41
206;feminino;grupo E;superior completo;matutino;sim;solteiro;regularmente;nao;4;onibus;> 5 < 10;83;92;100
207;masculino;grupo E;superior incompleto;matutino;nao;solteiro;regularmente;sim;;;> 5 < 10;77;82;79
208;feminino;grupo D;superior completo;matutino;nao;solteiro;regularmente;nao;2;onibus;< 5;80;79;82
209;masculino;grupo B;some ensinao medio incompleto;matutino;nao;casado;eventualmente;sim;1;onibus;> 5 < 10;69;87;80
210;masculino;grupo B;some ensinao medio incompleto;matutino;nao;casado;eventualmente;nao;2;;> 5 < 10;78;67;66
211;masculino;grupo D;ensinao medio incompleto;matutino;;casado;eventualmente;sim;4;carro;< 5;71;54;63
212;masculino;grupo B;ensinao medio incompleto;matutino;nao;casado;eventualmente;sim;2;;< 5;74;76;65
213;feminino;;ensinao medio;matutino;sim;solteiro;;sim;0;;> 5 < 10;76;81;82
214;feminino;grupo D;ensinao medio incompleto;matutino;nao;solteiro;eventualmente;sim;7;onibus;> 10;59;71;67
216;masculino;grupo B;superior completo;matutino;sim;solteiro;regularmente;sim;;carro;< 5;83;93;94
217;masculino;grupo A;;vespertino;nao;casado;eventualmente;nao;1;carro;> 5 < 10;56;53;50
218;masculino;grupo D;superior completo;matutino;nao;casado;eventualmente;sim;0;carro;> 10;67;57;56
219;masculino;grupo A;ensinao medio incompleto;matutino;sim;solteiro;regularmente;nao;1;carro;> 5 < 10;73;80;75
220;masculino;grupo C;some ensinao medio incompleto;matutino;nao;solteiro;eventualmente;sim;2;carro;< 5;55;58;45
221;feminino;grupo C;ensinao medio;vespertino;nao;divorciado;eventualmente;sim;2;carro;> 10;69;70;65
222;masculino;grupo B;;matutino;nao;casado;regularmente;nao;2;carro;> 5 < 10;73;74;77
223;masculino;grupo E;some ensinao medio incompleto;matutino;sim;divorciado;eventualmente;sim;3;onibus;> 10;100;100;97
224;masculino;grupo C;ensinao medio incompleto;matutino;nao;solteiro;regularmente;sim;3;onibus;< 5;81;75;72
225;feminino;grupo D;ensinao medio;matutino;;casado;eventualmente;nao;2;onibus;< 5;89;95;90
226;feminino;grupo D;ensinao medio;vespertino;sim;divorciado;regularmente;sim;0;onibus;> 10;53;77;86
227;feminino;grupo D;superior incompleto;matutino;nao;solteiro;eventualmente;sim;;carro;> 5 < 10;82;85;89
228;masculino;grupo D;ensinao medio incompleto;vespertino;sim;casado;nunca;nao;2;onibus;> 10;54;62;69
229;masculino;grupo A;ensinao medio incompleto;vespertino;nao;divorciado;eventualmente;sim;4;onibus;> 10;54;43;43
230;masculino;grupo A;ensinao medio;vespertino;nao;casado;eventualmente;nao;;carro;;68;61;51
231;masculino;grupo D;mestrado;matutino;nao;solteiro;regularmente;sim;0;carro;< 5;73;71;70
232;masculino;grupo E;ensinao medio;matutino;sim;solteiro;eventualmente;sim;;carro;> 5 < 10;80;69;66
233;feminino;grupo B;mestrado;matutino;nao;solteiro;regularmente;nao;1;carro;> 10;84;87;81
234;feminino;grupo E;some ensinao medio incompleto;matutino;sim;casado;eventualmente;sim;2;carro;> 5 < 10;91;87;86
235;masculino;grupo E;ensinao medio incompleto;matutino;nao;casado;eventualmente;sim;2;onibus;< 5;62;79;71
236;masculino;;ensinao medio;matutino;nao;casado;regularmente;nao;1;carro;< 5;65;63;56
237;masculino;grupo D;ensinao medio;vespertino;nao;casado;eventualmente;sim;2;carro;> 10;70;58;63
238;masculino;grupo C;ensinao medio incompleto;matutino;sim;solteiro;nunca;sim;2;onibus;< 5;41;43;39
239;masculino;grupo B;ensinao medio incompleto;matutino;nao;casado;eventualmente;sim;1;onibus;< 5;41;48;40
240;masculino;grupo B;some ensinao medio incompleto;matutino;sim;casado;nunca;nao;4;carro;< 5;48;43;46
241;masculino;grupo C;ensinao medio incompleto;vespertino;nao;casado;eventualmente;nao;3;carro;> 5 < 10;48;48;46
242;masculino;grupo C;superior incompleto;matutino;nao;casado;eventualmente;sim;0;onibus;> 10;70;68;59
243;masculino;grupo C;superior incompleto;vespertino;nao;casado;nunca;nao;2;carro;> 10;69;63;61
244;feminino;grupo C;superior incompleto;vespertino;;casado;eventualmente;sim;1;carro;> 5 < 10;73;72;68
245;masculino;grupo B;ensinao medio incompleto;matutino;sim;divorciado;regularmente;sim;3;carro;> 5 < 10;50;62;61
246;feminino;grupo B;ensinao medio;matutino;nao;casado;regularmente;nao;2;onibus;> 5 < 10;69;72;63
248;feminino;grupo B;superior completo;vespertino;nao;divorciado;eventualmente;sim;2;carro;> 5 < 10;58;60;64
249;masculino;grupo B;superior incompleto;matutino;sim;casado;eventualmente;sim;2;;< 5;75;89;89
250;masculino;grupo C;ensinao medio incompleto;matutino;nao;casado;eventualmente;sim;1;carro;> 5 < 10;49;48;42
251;feminino;grupo C;some ensinao medio incompleto;matutino;nao;divorciado;nunca;sim;4;carro;> 5 < 10;57;53;49
252;feminino;grupo C;superior completo;vespertino;nao;casado;eventualmente;sim;1;carro;> 5 < 10;72;96;94
253;masculino;grupo C;mestrado;vespertino;sim;casado;regularmente;nao;3;;< 5;67;82;80
254;feminino;grupo E;ensinao medio incompleto;matutino;sim;divorciado;regularmente;nao;5;;> 5 < 10;86;80;75
255;masculino;grupo D;mestrado;matutino;sim;solteiro;eventualmente;sim;2;onibus;< 5;78;84;98
256;masculino;grupo D;superior completo;matutino;nao;casado;eventualmente;sim;0;carro;> 5 < 10;79;73;73
257;masculino;grupo C;some ensinao medio incompleto;vespertino;nao;;regularmente;nao;3;carro;> 5 < 10;58;60;51
258;feminino;grupo B;superior incompleto;matutino;sim;casado;eventualmente;nao;3;onibus;> 5 < 10;81;82;83
259;masculino;grupo C;superior completo;matutino;sim;casado;regularmente;nao;2;onibus;> 10;65;72;82
260;feminino;grupo D;some ensinao medio incompleto;matutino;;solteiro;eventualmente;sim;0;;> 10;69;72;68
261;feminino;grupo B;ensinao medio incompleto;matutino;nao;casado;eventualmente;nao;1;carro;< 5;58;71;66
262;feminino;grupo C;superior completo;matutino;sim;casado;regularmente;nao;1;onibus;> 5 < 10;72;82;86
263;feminino;;superior incompleto;matutino;sim;casado;nunca;sim;3;;> 5 < 10;73;93;94
264;masculino;;superior incompleto;matutino;sim;divorciado;nunca;sim;2;carro;;71;88;81
265;feminino;grupo C;superior completo;matutino;nao;solteiro;regularmente;nao;3;onibus;> 5 < 10;59;61;56
267;feminino;grupo B;some ensinao medio incompleto;vespertino;nao;casado;regularmente;sim;1;onibus;> 5 < 10;48;59;55
268;masculino;grupo C;ensinao medio;vespertino;nao;solteiro;eventualmente;sim;0;onibus;> 5 < 10;60;79;78
269;feminino;grupo C;superior incompleto;vespertino;sim;solteiro;regularmente;nao;1;carro;> 10;85;86;89
270;masculino;grupo D;some ensinao medio incompleto;matutino;nao;solteiro;regularmente;;1;onibus;< 5;48;58;63
271;masculino;;ensinao medio incompleto;matutino;sim;casado;eventualmente;sim;0;carro;< 5;78;82;81
272;masculino;grupo B;mestrado;matutino;sim;casado;regularmente;sim;1;onibus;> 5 < 10;85;83;76
273;feminino;grupo E;superior completo;matutino;sim;divorciado;eventualmente;sim;3;onibus;< 5;86;67;75
274;masculino;grupo E;superior completo;matutino;sim;casado;eventualmente;;4;carro;> 5 < 10;95;100;100
275;masculino;grupo A;superior incompleto;matutino;nao;;eventualmente;nao;3;onibus;> 5 < 10;60;50;43
276;feminino;grupo A;superior completo;matutino;nao;solteiro;eventualmente;nao;5;onibus;> 5 < 10;57;39;40
277;feminino;grupo D;some ensinao medio incompleto;matutino;;solteiro;nunca;sim;1;onibus;> 5 < 10;57;60;56
278;masculino;grupo D;mestrado;vespertino;sim;casado;regularmente;sim;1;;> 10;68;79;89
279;feminino;grupo D;ensinao medio incompleto;matutino;nao;casado;eventualmente;nao;5;;> 5 < 10;81;73;70
280;masculino;grupo B;ensinao medio incompleto;vespertino;sim;divorciado;nunca;nao;4;;> 5 < 10;39;56;53
281;feminino;grupo C;ensinao medio incompleto;vespertino;nao;casado;eventualmente;sim;6;onibus;> 5 < 10;71;66;64
282;feminino;grupo A;superior completo;vespertino;sim;solteiro;regularmente;sim;4;carro;;73;77;83
283;feminino;;ensinao medio incompleto;matutino;sim;solteiro;eventualmente;sim;4;carro;> 10;81;100;100
284;masculino;grupo C;ensinao medio incompleto;matutino;nao;casado;eventualmente;nao;3;carro;> 5 < 10;59;62;60
285;masculino;grupo C;ensinao medio;matutino;sim;casado;eventualmente;sim;3;carro;< 5;58;62;61
286;masculino;grupo D;superior incompleto;vespertino;nao;;eventualmente;sim;2;onibus;> 5 < 10;55;56;55
287;feminino;grupo C;ensinao medio;vespertino;sim;divorciado;eventualmente;nao;2;carro;> 5 < 10;68;62;64
288;masculino;grupo C;superior incompleto;matutino;nao;solteiro;regularmente;sim;5;;> 5 < 10;82;84;80
289;feminino;grupo D;superior incompleto;matutino;sim;casado;eventualmente;sim;4;carro;> 5 < 10;99;91;95
290;masculino;grupo E;some ensinao medio incompleto;vespertino;sim;divorciado;eventualmente;sim;4;carro;> 5 < 10;48;52;55
291;feminino;grupo B;superior completo;vespertino;nao;divorciado;regularmente;nao;1;carro;> 5 < 10;62;65;61
292;feminino;grupo E;superior incompleto;vespertino;nao;casado;nunca;sim;1;carro;> 5 < 10;46;60;49
294;feminino;grupo A;ensinao medio;matutino;;solteiro;nunca;sim;3;onibus;> 5 < 10;57;69;67
295;masculino;grupo D;some ensinao medio incompleto;matutino;nao;;eventualmente;sim;0;onibus;> 5 < 10;51;62;67
296;masculino;grupo A;ensinao medio incompleto;matutino;sim;divorciado;eventualmente;sim;3;onibus;< 5;67;67;65
297;masculino;grupo C;some ensinao medio incompleto;vespertino;;casado;eventualmente;sim;1;onibus;> 10;67;69;65
298;masculino;grupo C;ensinao medio;matutino;nao;casado;regularmente;sim;0;onibus;> 5 < 10;92;77;79
299;feminino;grupo C;ensinao medio;matutino;nao;solteiro;regularmente;sim;3;onibus;> 10;73;67;61
300;feminino;grupo D;superior completo;matutino;nao;casado;eventualmente;nao;4;carro;> 5 < 10;55;56;52
302;masculino;grupo D;superior incompleto;vespertino;nao;casado;regularmente;sim;4;onibus;< 5;70;83;85
304;masculino;grupo B;ensinao medio;matutino;;casado;regularmente;sim;1;carro;> 5 < 10;70;65;62
305;masculino;;superior incompleto;vespertino;nao;divorciado;regularmente;sim;0;onibus;> 5 < 10;47;48;45
306;feminino;grupo C;superior incompleto;vespertino;;divorciado;nunca;sim;5;onibus;> 5 < 10;62;61;53
307;feminino;;some ensinao medio incompleto;matutino;sim;casado;nunca;sim;;carro;> 5 < 10;61;69;68
308;feminino;grupo C;ensinao medio;matutino;sim;divorciado;eventualmente;nao;3;onibus;> 5 < 10;74;90;95
309;feminino;grupo C;some ensinao medio incompleto;matutino;;solteiro;regularmente;nao;2;carro;> 10;70;73;71
310;feminino;grupo E;superior incompleto;matutino;nao;casado;eventualmente;sim;2;onibus;< 5;76;79;76
312;feminino;grupo D;some ensinao medio incompleto;matutino;nao;casado;regularmente;sim;0;onibus;< 5;69;87;85
313;masculino;grupo B;superior incompleto;matutino;nao;;regularmente;sim;5;carro;> 5 < 10;50;49;52
314;feminino;grupo E;mestrado;matutino;sim;solteiro;regularmente;;4;onibus;> 5 < 10;100;100;99
315;masculino;grupo D;superior incompleto;matutino;sim;solteiro;eventualmente;nao;2;carro;< 5;71;72;76
317;masculino;grupo C;superior completo;vespertino;sim;solteiro;nunca;nao;3;onibus;> 10;78;71;75
318;feminino;grupo D;ensinao medio;matutino;nao;casado;eventualmente;sim;;onibus;< 5;90;74;77
319;masculino;grupo D;superior incompleto;matutino;nao;solteiro;regularmente;nao;3;;< 5;96;99;97
320;feminino;grupo E;some ensinao medio incompleto;vespertino;sim;divorciado;regularmente;sim;3;carro;> 5 < 10;86;85;78
321;feminino;grupo D;some ensinao medio incompleto;vespertino;nao;casado;eventualmente;nao;1;onibus;> 10;57;72;71
322;feminino;grupo B;ensinao medio incompleto;vespertino;nao;solteiro;eventualmente;sim;;;> 5 < 10;71;81;78
323;feminino;grupo C;superior incompleto;matutino;nao;casado;eventualmente;sim;0;carro;> 5 < 10;60;73;68
324;masculino;grupo B;superior incompleto;matutino;sim;casado;eventualmente;nao;5;onibus;< 5;59;73;76
325;masculino;grupo C;mestrado;vespertino;sim;casado;eventualmente;sim;1;carro;> 5 < 10;80;86;86
326;feminino;grupo C;;matutino;nao;casado;nunca;nao;1;onibus;> 5 < 10;57;45;48
327;masculino;grupo B;ensinao medio;vespertino;nao;casado;eventualmente;sim;4;carro;> 5 < 10;59;70;73
328;feminino;grupo A;ensinao medio;vespertino;nao;solteiro;eventualmente;nao;3;;> 5 < 10;56;47;44
329;masculino;;ensinao medio incompleto;matutino;sim;casado;regularmente;nao;2;carro;> 10;97;96;100
330;feminino;grupo A;ensinao medio;matutino;sim;solteiro;regularmente;sim;2;onibus;> 5 < 10;72;68;72
331;masculino;grupo C;ensinao medio incompleto;matutino;nao;casado;eventualmente;sim;1;carro;> 5 < 10;64;81;77
332;feminino;grupo D;some ensinao medio incompleto;matutino;sim;solteiro;nunca;nao;5;;> 5 < 10;49;49;52
333;masculino;grupo C;ensinao medio;matutino;sim;casado;regularmente;sim;0;onibus;> 5 < 10;48;59;60
334;masculino;grupo C;ensinao medio incompleto;matutino;nao;casado;eventualmente;sim;0;onibus;< 5;60;55;49
335;feminino;grupo D;superior incompleto;matutino;nao;divorciado;regularmente;nao;4;onibus;> 5 < 10;66;57;60
336;feminino;grupo C;some ensinao medio incompleto;matutino;nao;divorciado;nunca;nao;3;carro;< 5;62;77;76
337;masculino;grupo D;ensinao medio incompleto;matutino;nao;divorciado;nunca;sim;1;onibus;> 5 < 10;94;98;93
338;feminino;grupo C;superior completo;matutino;nao;divorciado;eventualmente;sim;3;carro;;70;75;68
339;feminino;grupo B;ensinao medio incompleto;matutino;nao;divorciado;regularmente;sim;1;onibus;> 5 < 10;79;81;76
340;masculino;grupo B;ensinao medio incompleto;matutino;;solteiro;regularmente;sim;2;onibus;< 5;59;65;71
341;masculino;grupo C;ensinao medio incompleto;matutino;sim;solteiro;eventualmente;sim;;onibus;> 5 < 10;94;80;85
343;masculino;grupo C;some ensinao medio incompleto;vespertino;sim;divorciado;eventualmente;nao;;carro;< 5;40;39;38
344;feminino;grupo D;some ensinao medio incompleto;matutino;nao;casado;eventualmente;sim;2;onibus;> 10;70;69;65
345;feminino;grupo B;superior incompleto;vespertino;nao;;eventualmente;nao;2;onibus;> 5 < 10;53;61;57
346;feminino;;some ensinao medio incompleto;vespertino;nao;casado;nunca;sim;0;onibus;> 5 < 10;64;75;74
347;masculino;grupo C;ensinao medio;vespertino;nao;divorciado;nunca;sim;1;onibus;< 5;37;45;41
348;masculino;grupo B;ensinao medio incompleto;matutino;nao;casado;regularmente;sim;1;carro;> 5 < 10;61;57;59
350;feminino;grupo C;ensinao medio incompleto;vespertino;sim;casado;regularmente;sim;3;carro;> 5 < 10;74;75;68
351;masculino;grupo C;some ensinao medio incompleto;matutino;sim;casado;eventualmente;sim;2;onibus;< 5;66;73;83
352;feminino;grupo A;ensinao medio incompleto;vespertino;sim;solteiro;eventualmente;sim;0;carro;> 10;50;55;52
353;feminino;grupo C;mestrado;matutino;nao;casado;eventualmente;sim;2;onibus;> 5 < 10;56;61;67
354;masculino;grupo E;some ensinao medio incompleto;matutino;nao;casado;;nao;4;onibus;> 5 < 10;64;77;68
355;feminino;grupo D;superior incompleto;matutino;sim;casado;regularmente;nao;3;onibus;> 5 < 10;91;97;99
356;feminino;grupo C;ensinao medio incompleto;matutino;nao;solteiro;regularmente;nao;2;onibus;< 5;79;79;83
357;feminino;grupo D;ensinao medio;matutino;nao;divorciado;eventualmente;sim;1;carro;> 5 < 10;68;66;69
358;feminino;grupo C;ensinao medio;matutino;nao;casado;regularmente;sim;0;carro;> 5 < 10;57;69;74
359;feminino;grupo B;superior incompleto;vespertino;sim;solteiro;eventualmente;nao;1;carro;> 10;58;73;73
360;feminino;grupo C;some ensinao medio incompleto;vespertino;nao;solteiro;eventualmente;nao;;carro;> 10;51;58;58
361;feminino;grupo B;superior incompleto;vespertino;sim;casado;regularmente;nao;3;onibus;> 5 < 10;43;61;62
362;masculino;grupo B;ensinao medio;matutino;nao;divorciado;eventualmente;sim;4;onibus;< 5;68;74;76
363;feminino;;ensinao medio;vespertino;nao;solteiro;eventualmente;sim;2;onibus;> 5 < 10;58;62;62
364;feminino;grupo C;ensinao medio incompleto;matutino;nao;divorciado;eventualmente;nao;4;onibus;> 10;45;58;55
365;masculino;grupo C;mestrado;vespertino;nao;solteiro;regularmente;nao;3;;> 10;50;67;64
366;feminino;grupo D;superior incompleto;vespertino;nao;solteiro;regularmente;sim;2;onibus;< 5;44;60;56
367;masculino;grupo D;superior incompleto;vespertino;nao;casado;eventualmente;sim;1;carro;< 5;67;72;69
368;feminino;grupo B;;vespertino;sim;solteiro;eventualmente;sim;3;carro;> 5 < 10;75;89;83
369;masculino;grupo D;superior incompleto;matutino;;casado;regularmente;nao;1;;> 10;68;64;72
370;masculino;grupo B;superior incompleto;matutino;nao;viuvo;eventualmente;;2;onibus;< 5;54;47;46
373;feminino;grupo D;some ensinao medio incompleto;matutino;sim;divorciado;eventualmente;sim;0;onibus;> 5 < 10;87;85;86
374;masculino;grupo A;superior incompleto;matutino;nao;casado;eventualmente;;1;carro;< 5;65;84;80
375;masculino;grupo E;superior incompleto;vespertino;sim;casado;regularmente;nao;2;carro;< 5;85;78;75
376;masculino;grupo E;ensinao medio incompleto;matutino;sim;casado;eventualmente;sim;2;carro;> 5 < 10;76;66;68
377;masculino;grupo B;superior completo;matutino;sim;casado;nunca;sim;4;onibus;< 5;78;71;69
378;feminino;grupo C;some ensinao medio incompleto;vespertino;nao;casado;nunca;sim;1;onibus;> 5 < 10;27;18;15
379;masculino;grupo E;some ensinao medio incompleto;matutino;nao;casado;eventualmente;sim;3;onibus;> 5 < 10;66;73;71
381;feminino;grupo C;ensinao medio;matutino;sim;casado;eventualmente;sim;3;carro;> 5 < 10;87;87;85
382;feminino;grupo C;ensinao medio incompleto;vespertino;nao;solteiro;eventualmente;nao;3;carro;> 5 < 10;39;56;53
383;masculino;grupo D;superior incompleto;matutino;nao;casado;eventualmente;nao;4;onibus;> 5 < 10;58;62;64
384;feminino;grupo A;superior incompleto;matutino;nao;divorciado;eventualmente;;2;carro;< 5;55;59;53
385;masculino;grupo B;some ensinao medio incompleto;matutino;sim;solteiro;regularmente;nao;1;onibus;< 5;55;73;76
386;feminino;grupo C;ensinao medio;matutino;sim;;eventualmente;sim;0;onibus;> 5 < 10;100;86;87
387;feminino;;ensinao medio incompleto;vespertino;nao;casado;eventualmente;sim;4;;< 5;64;69;72
388;feminino;grupo D;superior completo;vespertino;nao;solteiro;regularmente;sim;2;;> 10;62;67;69
389;feminino;grupo E;;matutino;sim;solteiro;regularmente;nao;5;carro;> 5 < 10;54;56;59
390;feminino;grupo B;some ensinao medio incompleto;vespertino;nao;casado;regularmente;sim;3;carro;> 5 < 10;48;65;59
391;feminino;;superior incompleto;matutino;sim;divorciado;eventualmente;sim;1;carro;< 5;22;34;36
392;masculino;grupo D;ensinao medio;matutino;nao;casado;regularmente;sim;6;;> 5 < 10;88;89;92
393;feminino;grupo A;some ensinao medio incompleto;matutino;nao;solteiro;eventualmente;nao;1;;> 5 < 10;85;73;66
394;masculino;grupo D;some ensinao medio incompleto;vespertino;sim;divorciado;regularmente;sim;3;carro;> 5 < 10;76;84;84
395;masculino;grupo C;ensinao medio incompleto;vespertino;sim;solteiro;eventualmente;sim;2;onibus;> 5 < 10;75;72;69
396;feminino;grupo B;ensinao medio;matutino;nao;casado;eventualmente;sim;2;onibus;< 5;87;85;76
397;masculino;grupo D;superior completo;matutino;nao;divorciado;eventualmente;sim;2;onibus;> 5 < 10;58;68;68
399;masculino;grupo E;some ensinao medio incompleto;vespertino;nao;solteiro;regularmente;sim;1;carro;> 10;58;54;48
400;feminino;grupo C;some ensinao medio incompleto;matutino;nao;viuvo;eventualmente;sim;3;onibus;> 5 < 10;81;74;77
401;masculino;grupo C;some ensinao medio incompleto;matutino;sim;solteiro;eventualmente;sim;1;onibus;> 10;64;69;73
402;feminino;grupo E;superior completo;matutino;nao;casado;regularmente;nao;1;onibus;> 5 < 10;100;94;97
403;feminino;grupo B;superior completo;matutino;sim;solteiro;eventualmente;nao;1;onibus;> 5 < 10;47;60;64
405;feminino;grupo D;mestrado;matutino;sim;casado;regularmente;sim;3;carro;< 5;88;98;100
406;masculino;grupo B;superior completo;vespertino;nao;solteiro;eventualmente;nao;1;carro;> 5 < 10;47;52;48
407;feminino;grupo B;ensinao medio incompleto;vespertino;nao;;eventualmente;sim;1;onibus;> 10;57;58;48
409;feminino;grupo B;superior incompleto;matutino;sim;casado;eventualmente;nao;2;;;86;94;91
410;feminino;;some ensinao medio incompleto;matutino;nao;casado;eventualmente;nao;3;carro;< 5;47;45;50
411;masculino;grupo B;ensinao medio incompleto;matutino;nao;casado;eventualmente;sim;6;onibus;> 5 < 10;54;71;69
412;masculino;grupo B;superior incompleto;vespertino;sim;solteiro;nunca;sim;0;onibus;< 5;51;48;48
413;feminino;grupo C;;matutino;nao;casado;eventualmente;nao;1;onibus;> 10;78;76;69
414;masculino;grupo E;superior incompleto;matutino;nao;casado;regularmente;sim;4;carro;< 5;81;99;92
415;feminino;grupo A;superior incompleto;vespertino;sim;solteiro;eventualmente;sim;3;onibus;> 5 < 10;74;72;70
416;masculino;grupo D;ensinao medio;vespertino;nao;divorciado;eventualmente;nao;3;onibus;> 10;53;79;74
417;feminino;grupo A;ensinao medio;vespertino;sim;casado;nunca;sim;2;carro;> 5 < 10;59;65;57
418;masculino;grupo A;ensinao medio incompleto;matutino;nao;casado;regularmente;nao;3;onibus;< 5;61;71;72
419;feminino;grupo E;superior completo;vespertino;;solteiro;eventualmente;sim;4;onibus;> 5 < 10;77;73;71
420;masculino;;ensinao medio incompleto;vespertino;nao;casado;eventualmente;nao;1;carro;;31;44;44
421;feminino;grupo D;ensinao medio;vespertino;sim;casado;eventualmente;nao;1;onibus;> 5 < 10;77;75;77
422;masculino;grupo C;superior incompleto;vespertino;nao;divorciado;nunca;sim;5;carro;> 5 < 10;28;41;40
423;feminino;grupo C;ensinao medio incompleto;matutino;nao;casado;regularmente;nao;5;carro;< 5;70;64;61
424;masculino;grupo D;ensinao medio;matutino;sim;solteiro;nunca;sim;2;carro;> 10;68;83;80
425;feminino;grupo B;superior incompleto;matutino;sim;casado;eventualmente;nao;1;carro;> 5 < 10;69;68;64
426;masculino;grupo B;ensinao medio incompleto;vespertino;nao;casado;regularmente;nao;1;onibus;< 5;30;34;37
427;feminino;grupo B;;vespertino;nao;casado;eventualmente;sim;3;carro;> 10;63;60;53
428;masculino;;superior completo;matutino;sim;casado;regularmente;nao;2;carro;> 5 < 10;83;76;86
429;feminino;grupo D;ensinao medio;matutino;;solteiro;regularmente;sim;1;;> 5 < 10;78;65;69
430;feminino;grupo C;;vespertino;nao;casado;regularmente;sim;1;onibus;;66;86;83
431;masculino;grupo C;superior incompleto;matutino;nao;casado;;sim;3;carro;< 5;57;65;63
432;masculino;grupo C;mestrado;matutino;sim;solteiro;regularmente;;2;onibus;> 5 < 10;76;71;72
433;masculino;grupo B;ensinao medio incompleto;matutino;sim;casado;eventualmente;;0;onibus;> 5 < 10;88;82;84
434;masculino;grupo A;ensinao medio incompleto;matutino;sim;casado;eventualmente;nao;2;carro;;70;71;67
435;masculino;grupo D;superior incompleto;matutino;nao;casado;eventualmente;nao;3;onibus;> 5 < 10;87;86;85
436;feminino;grupo E;ensinao medio incompleto;matutino;sim;casado;eventualmente;sim;2;onibus;> 5 < 10;100;95;88
437;masculino;;superior completo;matutino;nao;solteiro;regularmente;nao;1;onibus;> 5 < 10;74;76;74
438;masculino;grupo C;mestrado;vespertino;sim;divorciado;regularmente;nao;1;onibus;> 5 < 10;73;83;74
439;masculino;grupo D;superior incompleto;matutino;sim;divorciado;eventualmente;nao;2;;> 5 < 10;83;78;77
440;masculino;grupo B;superior incompleto;vespertino;;casado;regularmente;;4;carro;< 5;56;50;47
441;masculino;grupo B;superior incompleto;matutino;sim;casado;eventualmente;sim;0;onibus;< 5;92;89;96
442;feminino;grupo E;ensinao medio;matutino;sim;;eventualmente;sim;3;onibus;< 5;86;83;82
443;masculino;grupo D;ensinao medio;vespertino;;casado;regularmente;sim;4;onibus;< 5;44;56;58
444;masculino;grupo D;ensinao medio incompleto;vespertino;sim;divorciado;eventualmente;sim;0;onibus;> 10;50;52;57
445;masculino;grupo C;mestrado;matutino;nao;casado;eventualmente;sim;2;onibus;> 5 < 10;61;61;57
446;masculino;grupo A;superior completo;vespertino;nao;casado;nunca;sim;2;onibus;> 5 < 10;76;81;76
447;masculino;grupo C;superior incompleto;matutino;nao;casado;nunca;nao;3;;< 5;41;35;36
448;masculino;grupo B;ensinao medio incompleto;vespertino;;;;sim;1;onibus;< 5;54;58;56
449;masculino;grupo D;superior completo;matutino;nao;casado;regularmente;sim;2;carro;> 10;89;84;81
450;masculino;grupo C;;matutino;nao;casado;eventualmente;nao;1;onibus;> 5 < 10;72;70;61
451;masculino;grupo B;superior incompleto;matutino;nao;casado;eventualmente;sim;1;carro;;75;65;72
452;feminino;grupo B;superior incompleto;matutino;sim;divorciado;regularmente;nao;3;;> 5 < 10;89;77;79
453;masculino;;ensinao medio incompleto;matutino;nao;casado;regularmente;nao;3;;;69;63;70
454;feminino;grupo E;some ensinao medio incompleto;matutino;sim;casado;eventualmente;sim;1;carro;> 5 < 10;100;96;91
455;feminino;grupo B;superior incompleto;vespertino;sim;casado;regularmente;sim;2;;> 5 < 10;65;85;83
456;feminino;grupo B;some ensinao medio incompleto;matutino;sim;divorciado;regularmente;sim;0;onibus;> 5 < 10;57;69;72
457;feminino;grupo D;ensinao medio;vespertino;nao;viuvo;eventualmente;nao;1;;> 5 < 10;74;90;89
